,"date of 
loss",date signed,date closed,,,,,Initial Reserve - Bld,Adj Reserve - Bld,Settlement Amt - Bld,Variance ($) (Stl - Init Rsv) - Bld,Variance (% of Stl) (Stl - Init Rsv) - Bld,Initial Reserve - Cont,Adj Reserve - Cont,Settlement Amt - Cont,Variance ($) (Stl - Init Rsv) - Cont,Variance (% of Stl) (Stl - Init Rsv) - Cont,Initial Reserve - BI,Adj Reserve - BI,Settlement Amt - BI,Variance ($) (Stl - Init Rsv) - BI,Variance (% of Stl) (Stl - Init Rsv) - BI,Fee - Bld,Fee - Cont,Fee - BI,Fees Collected,Write off,A/R,,,,,,,,,Comments,,
2017194IL,11/9/17,11/15/17,11/18/20,Closed,,Chicago,IL," $1,000,000 ",, $-   ,"$1,000,000",#DIV/0!," $300,000 ",, $-   ,"$300,000",#DIV/0!," $15,000 ",, $-   ,"$15,000",#DIV/0!,4.00%,7.00%,7.00%,"$10,048",$30,$0,Solicitor 1 HSM,,Lead HSM,Building Adjuster HSM,Building Support WLP,,,,,,
2017053,3/16/17,3/16/17,10/30/20,Open,,West,MI," $1,500,000 "," $1,500,000 "," $1,460,040 ","$39,960",-3%, $-   , $-   , $-   ,$0,#DIV/0!," $50,000 "," $50,000 "," $268,281 ","$218,281",81%,10.00%,0.00%,10.00%,"$95,458","$77,378",$0,Solicitor 1 RPL,,Building Adjuster HSM,Building Adjuster RPL,"
BI Adjuster HSM",Building Adjuster MAM,Building Support WLP,Lead HSM,"Wrote off $77,378",,
2020153,11/25/19,3/20/20,10/26/20,Closed,,Zeeland,MI, $-   , $-   ," $4,004 ","$4,004",100%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$4,004",$0,$0,Solicitor 1 EAG,,Building Adjuster CSS,Lead CSS,,,,,"Fee amount seems to be what was entered in ""Bld Stl Amt""in ProLaw",,
2020091,4/24/20,6/2/20,10/26/20,Closed,,Grosse,MI," $325,000 "," $450,000 "," $419,508 ","$94,508",23%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$41,951",$0,$0,Solicitor 1 EAG,,Lead LMF,Building Adjuster LMF,,,,,,,
2020064,1/12/20,3/12/20,10/26/20,Closed,,West,MI," $100,000 ", $-   ," $100,605 ",$605,1%," $15,000 ", $-   ," $33,929 ","$18,929",56%, $-   , $-   ," $31,000 ","$31,000",100%,10.00%,10.00%,0.00%,"$13,453",$0,$0,Solicitor 1 EAG,Solicitor 2 SMD,Lead CSS,Contents Adjuster CSS,"
Building Adjuster CSS",,,,,,
2020063,10/31/19,3/12/20,10/26/20,Closed,,West,MI," $100,000 ", $-   ," $25,550 ","$74,450",-291%," $15,000 ", $-   , $-   ,"$15,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$2,555",$0,$0,Solicitor 1 EAG,Solicitor 2 SMD,Lead CSS,Contents Adjuster CSS,"
Building Adjuster CSS",,,,,,
2019158,10/11/19,10/21/19,10/26/20,Closed,,Warren,MI, $-   ," $60,000 "," $42,839 ","$42,839",100%, $-   ," $15,000 "," $9,975 ","$9,975",100%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$5,210",$0,$71,Solicitor 1 CMG,,Lead CSS,Contents Adjuster CSS,"
Building Adjuster CSS",,,,,,
2019155,8/14/19,10/24/19,10/26/20,Closed,,Kalamazoo,MI," $180,000 ", $-   ," $61,961 ","$118,039",-191%," $15,000 ", $-   ," $41,620 ","$26,620",64%, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$10,358",$0,$0,Solicitor 1 JRU,,Lead CSS,"
Building Adjuster CSS",,,,,"fee: 10% above appraisal award in excess of $26,000",,
2019143,8/13/19,8/27/19,10/26/20,Closed,,Detroit,MI, $-   , $-   ," $35,483 ","$35,483",100%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$3,548",$0,$0,Solicitor 1 MTN,Solicitor 2 CMG,Lead CSS,"
Building Adjuster CSS",,,,,,,
2019096,7/2/19,7/2/19,10/26/20,Closed,,Eastpointe,MI," $150,000 ", $-   ," $218,559 ","$68,559",31%," $100,000 ", $-   ," $95,476 ","$4,524",-5%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,10.00%,"$31,403",$0,$0,Solicitor 1 MTN,,Lead CSS,"
Building Adjuster CSS",,,,,,,
2019002,1/2/19,1/3/19,10/26/20,Closed,,Warren,MI, $-   , $-   , $-   ,$0,#DIV/0!," $75,000 ", $-   ," $115,465 ","$40,465",35%, $-   , $-   ," $215,886 ","$215,886",100%,0.00%,10.00%,0.00%,"$8,279",$0,$0,Solicitor 1 CMG,,Lead CMG,Contents Adjuster CSS,,,,,"$8,279 collected in fees, no WO = 7.17 % of Cont recovery, 2.5% of total recovery (cont + BI)",,
2020111IL,6/16/20,6/28/20,10/22/20,Closed,,Palm,MI," $400,000 ", $-   ," $425,000 ","$25,000",6%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$37,500",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Adjuster MAM,Building Adjuster RPL,,,,,,
2020071,5/13/20,5/14/20,10/22/20,Closed,,Detroit,MI," $125,000 "," $75,000 "," $90,607 ","$34,393",-38%, $-   , $-   , $-   ,$0,#DIV/0!," $10,000 "," $7,500 "," $7,400 ","$2,600",-35%,7.00%,0.00%,7.00%,"$5,986",$0,$0,Solicitor 1 LMF,,Lead LMF,Building Adjuster LMF,"BI Adjuster LMF
",Building Support WLP,,,,,
2020057,4/13/20,4/20/20,10/22/20,Closed,,Detroit,MI," $75,000 "," $75,000 "," $60,818 ","$14,182",-23%, $-   , $-   ," $32,512 ","$32,512",100%," $10,000 "," $20,000 "," $32,512 ","$22,512",69%,7.50%,0.00%,0.00%,"$6,204",$0,$0,Solicitor 1 EAG,Solicitor 2 SXR,Lead LMF,Building Adjuster LMF,"BI Adjuster LMF
",Building Support WLP,,,Was this accidentally entered in C as well as BI?,,
2019114,7/14/19,8/12/19,10/22/20,Closed,,Grand,MI," $150,000 "," $150,000 "," $142,482 ","$7,518",-5%," $40,000 "," $4,000 "," $3,963 ","$36,037",-909%," $400,000 "," $150,000 "," $122,431 ","$277,569",-227%,10.00%,10.00%,10.00%,"$24,801",$0,$0,Solicitor 1 SJG,,Lead JJM,Contents Adjuster JJM,"Building Adjuster JJM
",Supervisor GCB,"BI Support WMB
BI Support YXG",BI Adjuster JJM,,,
2019063,3/5/19,3/5/19,10/22/20,Closed,,Ann Arbor,MI," $125,000 ", $-   ," $200,997 ","$75,997",38%," $100,000 ", $-   ," $110,000 ","$10,000",9%," $250,010 ", $-   ," $63,099 ","$186,911",-296%,5.00%,5.00%,5.00%,"$14,955",$0,$0,Solicitor 1 JEM,,Lead JEM,Building Adjuster JEM,BI Support YXG,Building Support DAD,"Contents Adjuster JEM
Contents Adjuster RWS",BI Adjuster JEM,"$374,096 in settlements, at 5% fee = $18,600",,
2019032,1/31/19,2/4/19,10/22/20,Closed,,Burton,MI," $100,000 ", $-   ," $277,396 ","$177,396",64%," $20,000 ", $-   ," $11,600 ","$8,400",-72%," $20,000 ", $-   ," $34,975 ","$14,975",43%,8.00%,8.00%,8.00%,"$8,369",$0,$0,Solicitor 1 CMG,,Lead CSS,Contents Adjuster CSS,"Building Adjuster CSS
",,,,"8% Fee would be $25,918.  We collected 2.58% - is that because CSS was on it, and was paid the balance?",,
2019022,2/1/19,2/5/19,10/22/20,Closed,,Birmingham,MI," $325,000 "," $325,000 "," $474,012 ","$149,012",31%," $100,000 "," $50,000 "," $118,630 ","$18,630",16%, $-   , $-   ," $63,645 ","$63,645",100%,10.00%,10.00%,0.00%,"$61,345",$0,$0,Solicitor 1 CMG,,Lead LMF,Building Adjuster LMF,Contents Adjuster MAD,,,,$656288 is total settlement.,,
2019003,12/26/18,1/3/19,10/22/20,Closed,,Attica,MI," $250,000 "," $300,000 "," $283,303 ","$33,303",12%," $175,000 ", $-   ," $105,274 ","$69,726",-66%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$25,577",$351,$0,Solicitor 1 DC1,Solicitor 2 SXR,Solicitor 3 CMG,Lead JJM,Contents Adjuster MAD,Building Adjuster JJM,,,"Globe Midwest charged 6.7% in fees, versus the 10% quoted",,
2018116,11/1/18,8/27/18,10/22/20,Closed,,Chesterfield,MI," $150,000 "," $150,000 "," $100,000 ","$50,000",-50%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$5,000",$0,$0,Solicitor 1 CMG,,Lead LMF,Building Adjuster LMF,,,,,5% vs 10% quoted (Notes Bld: Hired as appraiser only. Never went to appraisal - insd atty settled with agreement to waive appraisal),,
2018064,12/11/16,4/5/18,10/22/20,Closed,,Harbor,MI, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$239,090",$0,$0,Solicitor 1 EAG,,Lead EAG,Building Adjuster EAG,"Building Support PTJ
",,,,"$239,090 fees collected",,
2017095,5/8/17,5/25/17,10/22/20,Closed,,Berkley,MI," $360,000 "," $325,000 "," $308,436 ","$51,564",-17%," $181,000 "," $181,000 "," $513,050 ","$332,050",65%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$77,064",$0,$0,Solicitor 1 DC1,Solicitor 2 CMG,Lead LMF,Contents Adjuster KLT,"Building Adjuster LMF
",,,,,,
2017034,2/13/17,2/16/17,10/22/20,Closed,,Bay,MI," $2,081,100 "," $2,600,000 "," $2,740,000 ","$658,900",24%," $50,000 "," $50,000 "," $107,612 ","$57,612",54%," $100,000 "," $150,000 "," $185,000 ","$85,000",46%,6.00%,8.00%,0.00%,"$189,495",$0,$0,Solicitor 1 DC1,,Lead HSM,Building Adjuster MAM,Building Adjuster HSM,Contents Adjuster MAD,,,,,
2012147,8/15/12,9/24/12,10/22/20,Closed - Lawsuit,,Hillman,MI," $146,000 "," $146,000 "," $49,000 ","$97,000",-198%," $102,000 "," $102,000 "," $25,000 ","$77,000",-308%," $10,000 "," $10,000 ", $-   ,"$10,000",#DIV/0!,10.00%,10.00%,10.00%,$0,$0,$700,Solicitor 1 LMF,Solicitor 2 SXR,Lead LMF,Contents Adjuster MAD,Building Adjuster LMF,BI Adjuster MAD,,,,,
2020039IL,2/10/20,3/2/20,9/28/20,Closed,,Waukon,IA," $345,700 "," $345,700 "," $345,156 ",$544,0%," $100,000 "," $100,000 "," $168,236 ","$68,236",41%, $-   , $-   , $-   ,$0,#DIV/0!,8.00%,8.00%,8.00%,"$41,071",$0,$0,Solicitor 1 SJG,,Lead HSM,Contents Adjuster RWS,Building Adjuster HSM,BI Adjuster HSM,Contents Support NEG,Contents Adjuster HSM,,,
2019119IL,8/28/19,8/29/19,9/28/20,Closed,,Sandusky,OH," $350,000 "," $350,000 "," $279,802 ","$70,198",-25%, $-   , $-   , $-   ,$0,#DIV/0!," $10,000 "," $10,000 "," $17,703 ","$7,703",44%,10.00%,0.00%,0.00%,"$29,625",$0,$0,Solicitor 1 HSM,Solicitor 2 SMD,Lead JJM,Building Support AXQ,Building Adjuster JJM,BI Adjuster HSM,,,,,
2018040IL,12/29/17,2/20/18,9/28/20,Closed,,Indianapolis,IN," $650,000 ", $-   ," $531,212 ","$118,788",-22%, $-   , $-   , $-   ,$0,#DIV/0!," $25,000 "," $25,000 "," $30,000 ","$5,000",17%,0.00%,0.00%,0.00%,"$29,042",$0,$0,Solicitor 1 DC1,Solicitor 2 MTN,Lead JEM,BI Adjuster JEM,BI Support YXG,Building Adjuster JEM,,,"Fee: 5% to 350L / 6% 350-450K / 7%450-550K / 8%550-650K / 9% over 650K (3% under 350k)
How is Bld Est Amount different from Adj Reserve Bld?",,
2020101,6/28/19,3/19/20,9/28/20,Closed,,Saint,MI," $150,000 ", $-   ," $170,200 ","$20,200",12%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$10,000",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Adjuster RPL,,,,,,,
2019162,11/23/19,11/25/19,9/28/20,Closed,,Jackson,MI," $300,000 "," $200,000 "," $253,216 ","$46,784",-18%," $300,000 "," $50,000 "," $145,010 ","$154,990",-107%," $100,000 ", $-   , $-   ,"$100,000",#DIV/0!,10.00%,10.00%,10.00%,"$37,672",$0,$0,Solicitor 1 MTN,,Lead LMF,Building Adjuster LMF,Contents Adjuster LMF,BI Adjuster LMF,Contents Adjuster RWS,,,,
2019035,1/31/19,2/18/19,9/28/20,Closed,,Troy,MI," $500,000 "," $500,000 "," $583,333 ","$83,333",14%, $-   , $-   , $-   ,$0,#DIV/0!," $10,000 "," $10,000 ", $-   ,"$10,000",#DIV/0!,0.00%,0.00%,0.00%,"$58,333",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Adjuster MAM,Building Adjuster HSM,BI Support WLP,,,10% fee was charged but not given in ProLaw,,
2019009,1/16/19,1/17/19,9/28/20,Closed,,Kalkaska,MI," $206,400 ", $-   ," $206,400 ",$0,0%," $103,120 ", $-   ," $119,770 ","$16,650",14%," $100,000 ", $-   ," $70,562 ","$29,438",-42%,8.00%,8.00%,8.00%,"$33,819",$0,$0,Solicitor 1 DC1,Solicitor 2 MTN,Lead JJM,BI Adjuster JJM,Contents Adjuster RWS,Contents Adjuster JJM,Building Adjuster JJM,BI Support YXG,,,
2017189,11/4/17,11/8/17,9/28/20,Closed,,Rochester ,MI," $1,238,500 ", $-   ," $12,191 ","$1,226,309",-10059%," $866,950 ", $-   ," $866,950 ",$0,0%, $-   , $-   , $-   ,$0,#DIV/0!,7.50%,7.50%,7.50%,"$194,063","$9,289",$0,Solicitor 1 JEM,Solicitor 2 DC1,Lead JEM,BI Adjuster JEM,Building Adjuster JEM,Contents Adjuster MAD,,," Is this a typo? Ins Co Bld Offer was $1,236,264; billed $203.352 @ 7.5% Fee implying total settlement was $2,711,360
$2,711,360 - $866,950 = $1,844,410… is this what the actual settlement was for Bld?",,
2018110,8/1/18,8/13/18,9/26/20,Closed,,Taylor,MI," $150,000 "," $150,000 "," $145,212 ","$4,788",-3%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,9.00%,0.00%,0.00%,"$8,545",$0,$0,Solicitor 1 DC1,,Lead JJM,Building Adjuster JJM,,,,,"9% of settlement would be $13,069; we collected a little shy of 6%",,
2019097,7/10/19,7/15/19,9/8/20,Closed,,Southfield,MI," $200,000 "," $200,000 "," $186,096 ","$13,904",-7%," $500,000 "," $500,000 "," $347,624 ","$152,376",-44%," $100,000 "," $100,000 "," $98,613 ","$1,387",-1%,0.00%,10.00%,10.00%,"$62,875",$0,$0,Solicitor 1 RPL,,Lead RPL,BI Adjuster HSM,BI Support WMB,Contents Adjuster HSM,Building Support WLP,Contents Adjuster RWS,,,
2019033,2/1/19,2/12/19,8/24/20,Closed,,Harrison,MI," $150,000 "," $175,000 "," $103,340 ","$46,660",-45%," $25,000 "," $50,000 "," $35,997 ","$10,997",31%, $-   , $-   ," $6,407 ","$6,407",100%,10.00%,10.00%,10.00%,"$14,540",$137,$0,Solicitor 1 DC1,,Lead JJM,Contents Adjuster JJM,Building Adjuster JJM,Building Support AXQ,,,,,
2017091,5/17/17,5/19/17,8/24/20,Closed,,Lansing,MI," $1,500,000 ", $-   ," $2,218,926 ","$718,926",32%, $-   , $-   , $-   ,$0,#DIV/0!," $50,000 ", $-   ," $243,821 ","$193,821",79%,9.00%,0.00%,0.00%,"$128,754",$689,$0,Solicitor 1 RPL,Solicitor 2 SXR,Lead RPL,BI Adjuster JEM,Building Adjuster JEM,Building Adjuster MAM,Building Support WLP,BI Support YXG,"BI/ALE Est Amt $115,811 - how is this related to the Adjuster Reserve?  Nothing in Adju Reserve BI/ALE field",,
2019038IL,2/16/19,2/16/19,7/21/20,Closed,,Gary,IN," $250,000 "," $700,000 "," $586,576 ","$336,576",57%," $250,000 ", $-   ," $133,736 ","$116,264",-87%, $-   , $-   ," $250,000 ","$250,000",100%,8.00%,8.00%,8.00%,"$79,824",$432,$0,Solicitor 1 ALK,,Lead JJM,"Contents Adjuster RWS
Contents Adjuster JJM",Building Adjuster JJM,BI Adjuster WMB,BI Support YXG,Building Support AXQ,,,
2018022IL,12/24/17,12/27/17,7/21/20,Closed,,Mesquite,TX," $500,000 "," $600,000 "," $919,414 ","$419,414",46%, $-   , $-   , $-   ,$0,#DIV/0!," $20,000 "," $63,000 "," $129,035 ","$109,035",85%,10.00%,0.00%,10.00%,"$104,845",$0,$0,Solicitor 1 RPL,Solicitor 2 SXR,Lead RPL,BI Adjuster HSM,Building Adjuster HSM,,,,,,
2019086,6/16/19,6/17/19,7/21/20,Closed,,Highland,MI," $5,000,000 "," $5,000,000 "," $1,868,933 ","$3,131,067",-168%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$184,771",$0,$0,Solicitor 1 RPL,,Lead RPL,Building Adjuster HSM,"Building Adjuster RPL
",Building Adjuster MAM,Building Support DXW,BI Adjuster HSM,,,
2018063,3/23/18,4/5/18,7/21/20,Closed,,Warren,MI," $250,000 ", $-   ," $363,091 ","$113,091",31%," $175,000 "," $185,000 "," $230,738 ","$55,738",24%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$48,075",$0,$0,Solicitor 1 DC1,,Lead JJM,Building Support AXQ,Building Adjuster JJM,Contents Adjuster MAD,,,How is Bld Est Amount different from Adj Reserve Bld?,,
2018018,1/8/18,1/18/18,7/21/20,Closed,,Farmington,MI," $300,000 "," $400,000 "," $375,000 ","$75,000",20%, $-   ," $1,000 ", $-   ,$0,#DIV/0!," $25,000 "," $43,700 "," $43,700 ","$18,700",43%,4.25%,0.00%,4.25%,"$17,258",$0,$0,Solicitor 1 CMG,,Lead JJM,Building Adjuster JJM,BI Adjuster JJM,Supervisor LMF,Contents Adjuster JJM,,,,
2017204,12/16/17,12/20/17,7/21/20,Closed,,Grosse Ile,MI," $400,000 ", $-   ," $1,707,034 ","$1,307,034",77%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,8.00%,0.00%,0.00%,"$136,563",$0,$0,Solicitor 1 DC1,Solicitor 2 JEM,Lead JEM,Building Adjuster JEM,,,,,,,
2016170,11/29/16,11/29/16,7/21/20,Closed,,Trenton,MI," $750,000 ", $-   , $-   ,"$750,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!," $60,000 "," $46,000 ", $-   ,"$60,000",#DIV/0!,10.00%,0.00%,10.00%,"$95,138",$0,$0,Solicitor 1 DC1,Solicitor 2 JEM,Lead JEM,BI Adjuster JEM,Building Adjuster JEM,,,,"Transactions show $95,128 paid (last payment 1/5/18); Ins. Co. Bld Offer was $967,479",,
2018126IL,7/15/18,9/11/18,6/24/20,Closed,,Indianapolis,IN," $525,000 ", $-   ," $718,031 ","$193,031",27%," $275,000 "," $175,000 "," $261,311 ","$13,689",-5%, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,10.00%,0.00%,"$88,798",$0,$0,Solicitor 1 DC1,Solicitor 2 MTN,Lead JEM,Contents Adjuster JEM,Building Adjuster JEM,Contents Adjuster RWS,,,,,
2018109IL,7/19/18,8/8/18,6/24/20,Closed,,Marshalltown,IA," $800,000 "," $900,000 "," $552,589 ","$247,411",-45%," $700,000 "," $550,000 "," $342,095 ","$357,905",-105%," $300,000 ", $-   ," $90,625 ","$209,375",-231%,8.00%,8.00%,8.00%,"$93,825",$0,$0,Solicitor 1 SJG,Solicitor 2 MTN,Lead HSM,Building Adjuster HSM,BI Adjuster HSM,BI Adjuster WMB,Contents Adjuster HSM,Contents Adjuster RWS,,,
2019164,11/14/19,11/14/19,6/24/20,Closed,,Detroit,MI, $-   , $-   , $-   ,$0,#DIV/0!," $375,000 "," $250,000 "," $134,536 ","$240,464",-179%," $90,000 "," $90,000 "," $45,760 ","$44,240",-97%,6.00%,6.00%,6.00%,"$16,559",$0,$0,Solicitor 1 MTN,Solicitor 2 HSM,Solicitor 3 MAM,Solicitor 4 SXR,"Contents Adjuster HSM
Contents Adjuster RWS",Lead HSM,"Building Adjuster HSM
Building Adjuster MAM",Building Support WLP,,,
2019153,11/14/19,11/14/19,6/24/20,Closed,,Detroit,MI," $500,000 "," $250,000 "," $453,249 ","$46,751",-10%, $-   , $-   , $-   ,$0,#DIV/0!," $32,000 "," $32,000 "," $36,464 ","$4,464",12%,6.00%,6.00%,6.00%,"$31,945",$0,$0,Solicitor 1 MTN,Solicitor 2 HSM,Solicitor 3 MAM,Solicitor 4 SXR,"Contents Adjuster HSM
Contents Adjuster RWS",Lead HSM,"Building Adjuster HSM
Building Adjuster MAM",Building Support WLP,,,
2019084,5/28/19,5/31/19,6/24/20,Closed,,Oak Park,MI," $5,000,000 ", $-   ," $7,200,000 ","$2,200,000",31%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,3.00%,0.00%,0.00%,"$216,000",$0,$0,Solicitor 1 CMG,,Lead RPL,Building Adjuster MAM,Building Support WLP,Building Adjuster HSM,,,,,
2019040,12/31/18,2/20/19,6/24/20,Closed,,Detroit,MI," $200,000 "," $150,000 ", $-   ,"$200,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$2,371",$0,$0,Solicitor 1 DC1,,Lead LMF,"Building Adjuster LMF
",,,,,"Offer amt was $23713, which looks like settlement amount, though settlement amount was not listed in ProLaw",,
2018176,12/7/18,12/10/18,6/24/20,Closed,,Centreville ,MI," $800,000 "," $351,999 "," $376,824 ","$423,176",-112%, $-   , $-   , $-   ,$0,#DIV/0!," $20,000 ", $-   , $-   ,"$20,000",#DIV/0!,5.00%,0.00%,5.00%,"$20,730",$0,$0,Solicitor 1 CMG,,Lead JEM,BI Adjuster JEM,"Building Adjuster JEM
",,,,,,
